2016-11-27 14:39:32,275 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 14:42:54,410 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:42:54,413 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-11-27 14:42:54,421 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:42:54,423 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 14:45:25,338 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:45:25,340 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-27 14:45:25,346 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:45:25,347 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 14:48:32,370 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:48:32,372 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-27 14:48:32,373 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:48:32,375 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 14:50:03,775 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:50:03,778 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-27 14:50:03,780 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:50:03,781 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 14:58:47,028 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:58:47,031 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-27 14:58:47,032 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:58:47,034 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 14:59:15,034 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:59:15,036 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-27 14:59:15,038 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:59:15,039 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 14:59:39,522 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:59:39,528 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-27 14:59:39,532 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 14:59:39,535 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 16:23:43,024 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 16:23:43,025 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-11-27 16:23:43,028 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-27 16:23:43,028 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-27 16:25:05,685 [Worker-94] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.arun:ReadACSVFileAndOutputToConsole:0.0.1-SNAPSHOT @ C:\Users\Adwiti\SpringBatch\ReadACSVFileAndOutputToConsole\pom.xml.
2016-11-27 16:25:05,890 [Worker-94] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ReadACSVFileAndOutputToConsole/src/main/java
